Año,Región,Código provincia,Provincia,Código Cantón,Cantón,  Valor Agregado , Impuestos a los producto , PIB , Exportaciones , Importaciones 
2020,Chorotega,5,Guanacaste,504,Bagaces,"169,284.99","10,431.25","179,716.24",363.7033366,"4,024.75"
2020,Chorotega,5,Guanacaste,505,Carrillo,"192,565.01","11,444.06","204,009.07",9158.8922,"5,513.91"
2020,Chorotega,5,Guanacaste,506,Cañas,"151,353.28","7,346.92","158,700.20",24469.05395,"9,098.31"
2020,Chorotega,5,Guanacaste,507,Abangares,"87,861.41","10,049.05","97,910.46",10400.10748,"7,905.73"
2020,Chorotega,5,Guanacaste,508,Tilarán,"156,943.42","9,738.62","166,682.04",393.8724476,"2,890.12"
2020,Chorotega,5,Guanacaste,509,Nandayure,"35,371.28","1,024.61","36,395.89",2775.465366,343.55
2020,Chorotega,5,Guanacaste,510,La Cruz,"63,510.89","3,822.81","67,333.70",25963.92173,"2,375.99"
2020,Chorotega,5,Guanacaste,511,Hojancha,"18,933.38",776.46,"19,709.83",174.7543737,3.02
2020,Pacífico Central,6,Puntarenas,601,Puntarenas,"610,278.13","41,445.68","651,723.81",139731.8051,"256,129.94"
2020,Pacífico Central,6,Puntarenas,602,Esparza,"123,480.16","11,718.89","135,199.05",47840.56225,"79,469.79"
2020,Brunca,6,Puntarenas,603,Buenos Aires,"133,142.14","4,394.81","137,536.96",205.3516584,679.01
2020,Pacífico Central,6,Puntarenas,604,Montes de Oro,"52,759.85","4,202.53","56,962.39",162.312133,472.3
2020,Brunca,6,Puntarenas,605,Osa,"151,531.88","6,684.70","158,216.59",2238.731558,296.82
2020,Pacífico Central,6,Puntarenas,606,Quepos,"161,148.94","11,165.80","172,314.73",15021.184,"5,518.79"
2020,Brunca,6,Puntarenas,607,Golfito,"148,277.67","9,762.47","158,040.14",0,"16,967.51"
2020,Brunca,6,Puntarenas,608,Coto Brus,"122,150.44","5,178.15","127,328.59",480.287102,750.62
2020,Pacífico Central,6,Puntarenas,609,Parrita,"73,597.93","3,198.44","76,796.38",14068.23959,940.48
2020,Brunca,6,Puntarenas,610,Corredores,"138,712.18","4,269.17","142,981.34",113340.1076,"6,840.55"
2020,Pacífico Central,6,Puntarenas,611,Garabito,"124,897.42","11,380.28","136,277.70",30.45592655,"4,186.04"
2020,Huetar Caribe,7,Limón,701,Limón,"452,044.99","23,944.10","475,989.08",132070.55,"614,006.09"
2020,Huetar Caribe,7,Limón,702,Pococí,"586,093.06","42,987.14","629,080.20",392876.2007,"121,436.45"
2020,Huetar Caribe,7,Limón,703,Siquirres,"353,977.65","19,986.04","373,963.69",71085.94575,"63,765.20"
2020,Huetar Caribe,7,Limón,704,Talamanca,"111,974.18","5,429.21","117,403.39",3598.921619,89.79
2020,Huetar Caribe,7,Limón,705,Matina,"203,423.13","7,474.83","210,897.96",26269.68922,"7,531.42"
2020,Huetar Caribe,7,Limón,706,Guácimo,"169,235.23","7,371.64","176,606.87",57618.70934,"22,673.32"
2021,Central,1,San José,101,San José,"6,321,547.17","630,900.20","6,952,447.37",1145351.952,"3,939,310.25"
2021,Central,1,San José,102,Escazú,"1,469,968.40","108,991.57","1,578,959.96",22613.20173,"76,985.59"
2021,Central,1,San José,103,Desamparados,"793,760.30","64,681.32","858,441.62",45069.74981,"296,365.07"
2021,Central,1,San José,104,Puriscal,"105,710.66","18,505.59","124,216.25",1208.475274,"6,118.31"
2021,Central,1,San José,105,Tarrazú,"86,501.05","4,439.54","90,940.59",27623.15211,"1,731.17"
2021,Central,1,San José,106,Aserrí,"133,038.63","8,254.67","141,293.31",6441.281254,"10,069.62"
2021,Central,1,San José,107,Mora,"191,831.20","9,913.53","201,744.73",8924.097147,"8,655.82"
2021,Central,1,San José,108,Goicoechea,"836,950.22","95,527.59","932,477.81",5388.32634,"110,782.88"
2021,Central,1,San José,109,Santa Ana,"1,895,856.76","79,601.05","1,975,457.81",2451.357434,"48,538.13"
